cell,dataset,seed,policy,score,lambda_ref,stratum,stratum_rule,n_k,alpha,gamma,min_threshold_risk,argmin_lambda,n_argmin_thresholds,cost_at_argmin,full_feature_risk,threshold_curve_monotone,n_local_minima,gap_min_minus_alpha,family_p_value,threshold_verdict,min_depth_risk,argmin_depth,risk_at_T,cost_at_argmin_depth,depth_monotonicity_violations,depth_p_value,depth_verdict,is_primary
tabular-MiniBooNE/eps_greedy_eps0.25/ts0,tabular-MiniBooNE,0,eps_greedy_eps0.25,softmax,0.5,1,deepest precommitted nonempty,46823,0.15,0.05,0.08335647011084296,0.98989898989899,1,209.57722374942261,0.08339918416162997,False,2,-0.06664352988915703,1.0,feasible,0.08339918416162997,50,0.08339918416162997,341.0632155951181,2,1.0,feasible,False
tabular-MiniBooNE/eps_greedy_eps0.25/ts0,tabular-MiniBooNE,0,eps_greedy_eps0.25,softmax,0.7,1,deepest precommitted nonempty,46823,0.15,0.05,0.08335647011084296,0.98989898989899,1,209.57722374942261,0.08339918416162997,False,2,-0.06664352988915703,1.0,feasible,0.08339918416162997,50,0.08339918416162997,341.0632155951181,2,1.0,feasible,False
tabular-MiniBooNE/eps_greedy_eps0.25/ts0,tabular-MiniBooNE,0,eps_greedy_eps0.25,softmax,0.9,4,deepest precommitted nonempty,9425,0.15,0.05,0.23214854111405836,0.9191919191919192,2,325.1265360922225,0.2323607427055703,False,4,0.08214854111405837,6.506685968034752e-98,family-wide failure certified,0.2323607427055703,50,0.2323607427055703,341.0632155951181,6,2.2097970146770044e-98,family-wide failure certified,False
tabular-MiniBooNE/eps_greedy_eps0.5/ts0,tabular-MiniBooNE,0,eps_greedy_eps0.5,softmax,0.5,1,deepest precommitted nonempty,46823,0.15,0.05,0.08339918416162997,1.0,1,339.8161734538488,0.08339918416162997,True,2,-0.06660081583837002,1.0,feasible,0.08339918416162997,50,0.08339918416162997,341.0632155951181,4,1.0,feasible,False
tabular-MiniBooNE/eps_greedy_eps0.5/ts0,tabular-MiniBooNE,0,eps_greedy_eps0.5,softmax,0.7,1,deepest precommitted nonempty,46823,0.15,0.05,0.08339918416162997,1.0,1,339.8161734538488,0.08339918416162997,True,2,-0.06660081583837002,1.0,feasible,0.08339918416162997,50,0.08339918416162997,341.0632155951181,4,1.0,feasible,False
tabular-MiniBooNE/eps_greedy_eps0.5/ts0,tabular-MiniBooNE,0,eps_greedy_eps0.5,softmax,0.9,4,deepest precommitted nonempty,9132,0.15,0.05,0.23313622426631625,0.9191919191919192,1,325.6104032149315,0.23324572930354795,False,4,0.08313622426631626,4.6454564250086713e-97,family-wide failure certified,0.23324572930354795,50,0.23324572930354795,341.0632155951181,4,2.6930207042467963e-97,family-wide failure certified,False
tabular-MiniBooNE/greedy_entropy/ts0,tabular-MiniBooNE,0,greedy_entropy,softmax,0.5,1,deepest precommitted nonempty,46823,0.15,0.05,0.08339918416162997,1.0,1,339.8022964514639,0.08339918416162997,True,2,-0.06660081583837002,1.0,feasible,0.08339918416162997,50,0.08339918416162997,341.0632155951181,5,1.0,feasible,False
tabular-MiniBooNE/greedy_entropy/ts0,tabular-MiniBooNE,0,greedy_entropy,softmax,0.7,1,deepest precommitted nonempty,46823,0.15,0.05,0.08339918416162997,1.0,1,339.8022964514639,0.08339918416162997,True,2,-0.06660081583837002,1.0,feasible,0.08339918416162997,50,0.08339918416162997,341.0632155951181,5,1.0,feasible,False
tabular-MiniBooNE/greedy_entropy/ts0,tabular-MiniBooNE,0,greedy_entropy,softmax,0.9,4,deepest precommitted nonempty,9180,0.15,0.05,0.23344226579520697,0.9393939393939394,7,336.0371788259776,0.23344226579520697,True,4,0.08344226579520697,3.178314386914752e-98,family-wide failure certified,0.23344226579520697,50,0.23344226579520697,341.06321559511804,6,3.178314386914752e-98,family-wide failure certified,True
tabular-MiniBooNE/greedy_entropy/ts0[margin],tabular-MiniBooNE,0,greedy_entropy,margin,0.5,4,deepest precommitted nonempty,13205,0.15,0.05,0.15925785687239682,0.9696969696969697,1,300.9632771416631,0.15940931465354033,False,6,0.00925785687239683,0.0016115171356150294,family-wide failure certified,0.15940931465354033,50,0.15940931465354033,341.06321559511804,5,0.0013786708302654994,family-wide failure certified,False
