cell,lambda_ref,resplit,certified,lambda_idx,any_stratum_pool_fail
mnist/eps_greedy_eps0.25/ts0,0.9,50,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,51,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,52,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,53,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,54,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,55,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,56,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,57,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,58,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,59,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,60,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,61,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,62,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,63,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,64,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,65,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,66,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,67,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,68,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,69,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,70,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,71,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,72,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,73,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,74,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,75,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,76,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,77,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,78,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,79,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,80,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,81,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,82,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,83,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,84,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,85,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,86,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,87,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,88,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,89,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,90,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,91,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,92,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,93,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,94,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,95,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,96,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,97,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,98,0,,0
mnist/eps_greedy_eps0.25/ts0,0.9,99,0,,0
mnist/eps_greedy_eps0.5/ts0,0.5,0,1,86,0
mnist/eps_greedy_eps0.5/ts0,0.5,1,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,2,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,3,1,85,0
mnist/eps_greedy_eps0.5/ts0,0.5,4,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,5,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,6,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,7,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,8,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,9,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,10,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,11,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,12,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,13,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,14,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,15,1,87,0
mnist/eps_greedy_eps0.5/ts0,0.5,16,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,17,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,18,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,19,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,20,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,21,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,22,1,91,0
mnist/eps_greedy_eps0.5/ts0,0.5,23,1,85,0
mnist/eps_greedy_eps0.5/ts0,0.5,24,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,25,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,26,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,27,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,28,1,85,0
mnist/eps_greedy_eps0.5/ts0,0.5,29,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,30,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,31,1,85,0
mnist/eps_greedy_eps0.5/ts0,0.5,32,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,33,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,34,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,35,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,36,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,37,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,38,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,39,1,81,0
mnist/eps_greedy_eps0.5/ts0,0.5,40,1,85,0
mnist/eps_greedy_eps0.5/ts0,0.5,41,1,86,0
mnist/eps_greedy_eps0.5/ts0,0.5,42,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,43,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,44,1,86,0
mnist/eps_greedy_eps0.5/ts0,0.5,45,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,46,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,47,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,48,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,49,1,86,0
mnist/eps_greedy_eps0.5/ts0,0.5,50,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,51,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,52,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,53,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,54,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,55,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,56,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,57,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,58,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,59,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,60,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,61,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,62,1,82,0
mnist/eps_greedy_eps0.5/ts0,0.5,63,1,81,0
mnist/eps_greedy_eps0.5/ts0,0.5,64,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,65,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,66,1,84,0
mnist/eps_greedy_eps0.5/ts0,0.5,67,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,68,1,83,0
mnist/eps_greedy_eps0.5/ts0,0.5,69,1,82,0
