cell,R_pool_s0,R_pool_s1,R_pool_s2,R_pool_s3,R_pool_s4,agg_pool_risk,lambda_idx,lambda_ref,pool_cost,resplit
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,16
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,17
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,18
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,19
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,20
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,21
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,22
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,23
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,24
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,25
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,26
mnist/eps_greedy_eps0.25/ts0,0.078076,0.076383,0.083507,0.098882,0.323793,0.1376190476190476,83,0.9,22.95484126984127,27
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,28
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,29
mnist/eps_greedy_eps0.25/ts0,0.078076,0.077283,0.087862,0.109812,0.333099,0.14253968253968255,82,0.9,22.190833333333334,30
