dataset,policy,scheme,method,violation_frac,wilson_lo,wilson_hi,abstain_rate,mean_risk,mean_cost,cost_ratio_full
tabular-adult,greedy_entropy,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.14738944,12.32459705,0.8803283607142857
tabular-adult,greedy_entropy,uniform,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.21318791000000004,5.0,0.35714285714285715
tabular-adult,greedy_entropy,uniform,budget_10,0.0,0.0,0.03699480747600191,0.0,0.16711913999999997,10.0,0.7142857142857143
tabular-adult,greedy_entropy,uniform,budget_20,0.0,0.0,0.03699480747600191,0.0,0.14716216,14.0,1.0
tabular-adult,greedy_entropy,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.19239186999999996,2.41808971,0.17272069357142855
tabular-adult,greedy_entropy,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.14716216,14.0,1.0
tabular-adult,greedy_entropy,inverse_info,cafa_marginal,0.01,0.0017673865655472645,0.0544875247609346,0.0,0.18691152999999996,19.57514636,0.20952441930246318
tabular-adult,greedy_entropy,inverse_info,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.14716216,93.42656300000004,1.0
tabular-adult,greedy_entropy,inverse_info,plugin,0.01,0.0017673865655472645,0.0544875247609346,0.0,0.19251841,18.00257679,0.1926922730744145
tabular-adult,greedy_entropy,inverse_info,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.15389925000000002,47.92508260999999,0.5129706271009881
tabular-adult,greedy_entropy,inverse_info,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.14996806999999998,61.06957101,0.6536638943894357
tabular-adult,greedy_entropy,inverse_info,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.14738944,83.20041719000001,0.8905434869738275
tabular-adult,greedy_entropy,inverse_info,budget_5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.21318791000000004,33.85564035,0.36237702921812487
tabular-adult,greedy_entropy,inverse_info,budget_10,0.0,0.0,0.03699480747600191,0.0,0.16711913999999997,69.42676952,0.7431159542923564
tabular-adult,greedy_entropy,inverse_info,budget_20,0.0,0.0,0.03699480747600191,0.0,0.14716216,93.42656300000004,1.0
tabular-adult,greedy_entropy,inverse_info,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.19239186999999996,18.03368956,0.19302529153298714
tabular-adult,greedy_entropy,inverse_info,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.14716216,93.42656300000004,1.0
tabular-adult,greedy_entropy,random,cafa_marginal,0.01,0.0017673865655472645,0.0544875247609346,0.0,0.18691152999999996,17.004610630000002,0.23293987164383564
