cell,resplit,lambda_idx,pool_risk,pool_cost,exceed,fallback
mnist/eps_greedy_eps0.25/ts0,90,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,91,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,92,82,0.14253968253968255,22.190833333333334,0,0
mnist/eps_greedy_eps0.25/ts0,93,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,94,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,95,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,96,82,0.14253968253968255,22.190833333333334,0,0
mnist/eps_greedy_eps0.25/ts0,97,82,0.14253968253968255,22.190833333333334,0,0
mnist/eps_greedy_eps0.25/ts0,98,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.25/ts0,99,81,0.14813492063492065,21.46468253968254,0,0
mnist/eps_greedy_eps0.5/ts0,0,79,0.14103174603174604,21.674801587301587,0,0
mnist/eps_greedy_eps0.5/ts0,1,78,0.1471031746031746,21.052896825396825,0,0
mnist/eps_greedy_eps0.5/ts0,2,78,0.1471031746031746,21.052896825396825,0,0
mnist/eps_greedy_eps0.5/ts0,3,79,0.14103174603174604,21.674801587301587,0,0
mnist/eps_greedy_eps0.5/ts0,4,78,0.1471031746031746,21.052896825396825,0,0
mnist/eps_greedy_eps0.5/ts0,5,79,0.14103174603174604,21.674801587301587,0,0
mnist/eps_greedy_eps0.5/ts0,6,78,0.1471031746031746,21.052896825396825,0,0
mnist/eps_greedy_eps0.5/ts0,7,77,0.1523809523809524,20.492261904761904,1,0
mnist/eps_greedy_eps0.5/ts0,8,78,0.1471031746031746,21.052896825396825,0,0
mnist/eps_greedy_eps0.5/ts0,9,77,0.1523809523809524,20.492261904761904,1,0
mnist/eps_greedy_eps0.5/ts0,10,77,0.1523809523809524,20.492261904761904,1,0
mnist/eps_greedy_eps0.5/ts0,11,78,0.1471031746031746,21.052896825396825,0,0
mnist/eps_greedy_eps0.5/ts0,12,78,0.1471031746031746,21.052896825396825,0,0
mnist/eps_greedy_eps0.5/ts0,13,78,0.1471031746031746,21.052896825396825,0,0
mnist/eps_greedy_eps0.5/ts0,14,78,0.1471031746031746,21.052896825396825,0,0
mnist/eps_greedy_eps0.5/ts0,15,78,0.1471031746031746,21.052896825396825,0,0
mnist/eps_greedy_eps0.5/ts0,16,78,0.1471031746031746,21.052896825396825,0,0
mnist/eps_greedy_eps0.5/ts0,17,79,0.14103174603174604,21.674801587301587,0,0
mnist/eps_greedy_eps0.5/ts0,18,78,0.1471031746031746,21.052896825396825,0,0
